"","batch1","batch2"
"918","M388T546","M388T561"
"919","M389T427","M389T447"
"920","M389T370","M389T268"
"921","M390T353","M390T366"
"922","M390T303","M390T401"
"923","M391T571","M391T588"
"924","M391T443","M391T454"
"925","M391T691","M391T697"
"926","M391T795","M391T878"
"927","M392T99","M392T102"
"928","M392T288","M392T295"
"929","M392T292","M392T364"
"930","M392T144","M392T145"
"931","M393T328","M393T370"
"932","M393T187","M393T186"
"933","M393T729","M393T732"
"934","M393T474","M393T491"
"935","M393T600","M393T616"
"936","M394T367","M394T377"
"937","M394T685","M394T695"
"938","M394T500","M394T516"
"939","M394T290","M394T308"
"940","M395T263","M395T266"
"941","M396T391","M396T445"
"942","M396T624","M396T639"
"943","M396T723","M396T729"
"944","M397T484","M397T511"
"945","M397T171","M397T165"
"946","M398T354","M398T305"
"947","M399T296","M399T380"
"948","M399T677","M399T692"
"949","M399T475","M399T531"
"950","M400T306","M400T318"
"951","M400T656","M400T666"
"952","M401T374","M401T408"
"953","M401T463","M401T493"
"954","M401T556","M401T575"
"955","M401T725","M401T610"
"956","M402T725","M402T686"
"957","M402T379","M402T477"
"958","M403T472","M403T486"
"959","M403T726","M403T702"
"960","M403T685","M403T686"
"961","M403T777","M403T775"
"962","M403T618","M403T595_2"
"963","M404T660","M404T727"
"964","M405T371","M405T467"
"965","M405T261","M405T255"
"966","M406T134","M406T135"
"967","M406T847","M406T847"
"968","M407T268","M407T275"
"969","M407T342","M407T334"
"970","M407T529","M407T553"
"971","M407T460","M407T488"
"972","M407T145","M407T136"
"973","M407T606","M407T622"
"974","M408T464","M408T484"
"975","M408T203","M408T196"
"976","M409T349","M409T370"
"977","M409T335","M409T344"
"978","M409T575","M409T595"
"979","M410T108","M410T94"
"980","M410T576","M410T602"
"981","M410T820","M410T739"
"982","M411T546","M411T638"
"983","M411T283","M411T284"
"984","M412T331","M412T343"
"985","M412T545","M412T551"
"986","M412T773","M412T772"
"987","M413T581","M413T518"
"988","M414T609","M414T621"
"989","M414T318","M414T347"
"990","M415T758","M415T768"
"991","M415T765","M415T761"
"992","M415T493","M415T512"
