mz-peak	PIUMet-ID	Metabolite-Name	HMDB-ID	origin	super-class	Cellular-location	monisotopic-moleculate-weight	Chemical-formula
m/z=195.060323284	met51745	4-Carboxyphenylglycine	HMDB0002016	Endogenous	Organic compounds	Cytoplasm (predicted from logP)	195.05315778	C9H9NO4
m/z=195.060323284	met24673	2-Hydroxy-7-methoxy-2H-1,4-benzoxazin-3(4H)-one	HMDB0038055	Food	Organic compounds	Cytoplasm|Extracellular	195.05315778	C9H9NO4
m/z=195.060323284	met64051	3-Hydroxyhippuric acid	HMDB0006116	Drug|Endogenous|Microbial	Organic compounds	Cytoplasm (predicted from logP)	195.05315778	C9H9NO4
m/z=195.060323284	met33975	2-Hydroxy-6,7-dimethoxybenzoxazole	HMDB0030726	Endogenous|Food	Organoheterocyclic compounds	Cytoplasm|Extracellular	195.05315778	C9H9NO4
m/z=195.060323284	met73352	Dopaquinone	HMDB0001229	Endogenous	Organic compounds	Cytoplasm	195.05315778	C9H9NO4
m/z=195.060323284	met17895	9H-Carbazole-3-carboxaldehyde	HMDB0029743	Endogenous|Food	Organic compounds	Membrane	195.06841392	C13H9NO
m/z=195.060323284	met7853	4-Hydroxyhippuric acid	HMDB0013678	Endogenous|Microbial	Organic compounds	NULL	195.05315778	C9H9NO4
m/z=195.060323284	met66327	Alpha-Hydroxyhippuric acid	HMDB0002404	Endogenous	Organic compounds	Cytoplasm (predicted from logP)	195.05315778	C9H9NO4
m/z=195.060323284	met3622	L-Dopaquinone	HMDB0039119	Food	Organic compounds	Cytoplasm|Extracellular	195.05315778	C9H9NO4
m/z=195.060323284	met17711	Salicyluric acid	HMDB0000840	Endogenous|Microbial	Organic compounds	NULL	195.05315778	C9H9NO4
m/z=196.063644114	met37884	1,3-Dimethyluric acid	HMDB0001857	Drug metabolite|Endogenous	Organic compounds	Cytoplasm (predicted from logP)	196.05964014	C7H8N4O3
m/z=196.063644114	met31894	Galactonic acid	HMDB0000565	Endogenous	Organic compounds	Cytoplasm	196.05830274	C6H12O7
m/z=196.063644114	met9891	1-(2,4,5-Trihydroxyphenyl)-1-butanone	HMDB0037177	Food	Organic compounds	Cytoplasm|Extracellular	196.07355887	C10H12O4
m/z=196.063644114	met19302	(+)-3-(3,4-Methylenedioxyphenyl)-1,2-propanediol	HMDB0030571	Endogenous|Food	Organic compounds	Cytoplasm|Extracellular	196.07355887	C10H12O4
m/z=196.063644114	met67354	(S)-Batatic acid	HMDB0035721	Food	Organic compounds	Cytoplasm|Extracellular	196.07355887	C10H12O4
m/z=196.063644114	met57212	(S)-2-(4-Methoxyphenoxy)propanoic acid	HMDB0040256	Food	Organic compounds	Cytoplasm|Extracellular	196.07355887	C10H12O4
m/z=196.063644114	met57136	4-Hydroxy-6-methyl-3-(1-oxobutyl)-2H-pyran-2-one	HMDB0040637	Food	Organooxygen compounds	Cytoplasm|Extracellular	196.07355887	C10H12O4
m/z=196.063644114	met62304	1,7-Dimethyluric acid	HMDB0011103	Drug metabolite|Endogenous	Organic compounds	Cytoplasm	196.05964014	C7H8N4O3
m/z=196.063644114	met3355	2-Hydroxy-3-(4-methoxyphenyl)propanoic acid	HMDB0039427	Food	Phenylpropanoids and polyketides	Cytoplasm|Extracellular	196.07355887	C10H12O4
m/z=196.063644114	met20316	Xanthoxylin	HMDB0029645	Endogenous|Food	Organic compounds	Cytoplasm|Extracellular	196.07355887	C10H12O4
m/z=196.063644114	met29967	Homoveratric acid	HMDB0000434	Endogenous	Organic compounds	Cytoplasm	196.07355887	C10H12O4
m/z=196.063644114	met19116	3,7-Dimethyluric acid	HMDB0001982	Drug metabolite|Endogenous	Organic compounds	Cytoplasm	196.05964014	C7H8N4O3
m/z=196.063644114	met8923	Gluconic acid	HMDB0000625	Endogenous	Organic oxygen compounds	Cytoplasm (predicted from logP)	196.05830274	C6H12O7
m/z=196.063644114	met61674	7,9-Dimethyluric acid	HMDB0004308	Drug metabolite|Endogenous	Organic compounds	Cytoplasm	196.05964014	C7H8N4O3
m/z=196.063644114	met27231	Gulonic acid	HMDB0003290	Endogenous	Organic compounds	Endoplasmic reticulum	196.05830274	C6H12O7
m/z=196.063644114	met5608	1,9-Dimethyluric acid	HMDB0002026	Drug metabolite|Endogenous	Organic compounds	Cytoplasm	196.05964014	C7H8N4O3
m/z=196.063644114	met11711	Maltyl isobutyrate	HMDB0032365	Endogenous|Food	Organoheterocyclic compounds	Cytoplasm|Extracellular	196.07355887	C10H12O4
m/z=196.063644114	met50677	2,4,5-Trimethoxybenzaldehyde	HMDB0029648	Endogenous|Food	Organic compounds	Cytoplasm|Extracellular	196.07355887	C10H12O4
m/z=196.096124778	met47771	1-(2-Thienyl)-1-heptanone	HMDB0040241	Food	Organooxygen compounds	Membrane	196.09218582	C11H16OS
m/z=200.163732296	met33615	3,4-Dihydrocadalene	HMDB0036453	Endogenous|Food	Lipids and lipid-like molecules	Extracellular|Membrane	200.15650064	C15H20
m/z=200.163732296	met59148	(S)-gamma-Calacorene	HMDB0036451	Food	Organic compounds	Membrane	200.15650064	C15H20
m/z=200.163732296	met35457	2-Hexenoylcholine	HMDB0013162	Endogenous	Organic compounds	NULL	200.16505395	C11H22NO2
m/z=200.163732296	met16349	alpha-Corocalene	HMDB0038204	Endogenous|Food	Organic compounds	Extracellular|Membrane	200.15650064	C15H20
m/z=201.107388401	met112	1,2-Dihydro-1,1-dimethyl-2-oxo-4,4-bipyridinium(1+)	HMDB0035170	Food	Organoheterocyclic compounds	Cytoplasm|Extracellular	201.10278805	C12H13N2O
m/z=201.107388401	met2062	(E)-1-Cinnamoylpyrrolidine	HMDB0038835	Food	Organic compounds	Cytoplasm|Extracellular	201.11536411	C13H15NO
m/z=201.107388401	met49169	2,3-Dihydro-6-methyl-5-(5-methyl-2-furanyl)-1H-pyrrolizine	HMDB0040007	Food	Organoheterocyclic compounds	Membrane	201.11536411	C13H15NO
m/z=202.139054538	met3881	Panaquinquecol 5	HMDB0039356	Food	Organoheterocyclic compounds	Membrane	202.1357652	C14H18O
m/z=202.139054538	met24756	Dictagymnin	HMDB0039274	Food	Organic compounds	Membrane	202.1357652	C14H18O
m/z=202.139054538	met34825	Symmetric dimethylarginine	HMDB0003334	Endogenous	Organic compounds	NULL	202.14297584	C8H18N4O2
m/z=202.139054538	met27022	Isoleucyl-Alanine	HMDB0028900	Endogenous	Organic compounds	NULL	202.13174245	C9H18N2O3
